p_archivos,ej5,ej6
73,159183127,70021687
74,156256208,68360896
75,164629083,71696178
76,154407745,72771149
77,158167062,73380269
78,175425664,73914010
79,177716552,69019786
80,163418162,73204524
81,147868340,69381650
82,195810656,88789116
83,179093317,78972668
84,195291983,79944612
85,178879841,82770870
86,187796775,79319377
87,194506924,83436428
88,184543259,85094720
89,184634517,82873683
90,174754232,81918414
91,185400420,83605600
92,167366025,81078876
93,192838947,83294010
94,185605318,84297666
95,195152198,83869606
96,176540062,74389430
97,146664557,69542079
98,156302175,66716501
99,153284189,66856206
100,157052503,72254117
1,150523844,151982393
2,99956889,122911210
3,83714671,92869220
4,72502004,83399546
5,82514745,80759247
6,77652581,82821533
7,79364265,82690155
8,88974179,76904138
9,90177996,76076760
10,113943470,78810230
11,91152768,78591973
12,121407106,75144934
13,95888399,73132986
14,101375921,80294303
15,99474833,77917959
16,119371812,72801011
17,112168727,90735004
18,121344447,89636256
19,143514258,88603617
20,150854651,89181134
21,131786362,90454785
22,160610004,88729679
23,140922223,86135096
24,135030334,83488414
25,162174166,81136411
26,142031095,85724152
27,141867984,86954060
28,144325737,87483368
29,143967345,82449944
30,143073678,84912218
31,149900040,83167002
32,161045452,87298594
33,150498354,82249072
34,160843466,72527154
35,134848020,70329885
36,138159850,71318816
37,139090641,71949973
38,149142177,74074734
39,139427815,69268970
40,146789945,75044199
41,150075443,74690200
42,142532321,74407895
43,147113240,71564632
44,155302293,70468411
45,153597656,70750998
46,164495662,69953850
47,143723465,71929358
48,144910618,71566041
49,141364639,73978335
50,142709488,68777590
51,148078691,76649471
52,135420271,77555921
53,192475685,86268729
54,164708195,82939259
55,166254430,84779465
56,174930218,84696126
57,170088992,84070957
58,163640453,84662553
59,173649646,86031882
60,188857048,85162837
61,182996706,81802467
62,167232357,78613489
63,165088117,86710012
64,181062892,84101282
65,189462386,82918345
66,164411539,81463724
67,179842241,85059630
68,167059245,72384818
69,150438800,72286878
70,161581133,70648917
71,154453602,70740190
72,145691127,70624910
73,152058063,75379074
74,166858474,71668401
75,166776232,74167740
76,151844111,71913294
77,153098000,72703680
78,152102194,72281684
79,144871835,68190871
80,151066050,68672601
81,141912330,72459836
82,157225862,74855793
83,158951329,75115309
84,145656560,71365255
85,161811224,82432459
86,190457885,84536026
87,183335151,82043940
88,170592568,77799022
89,169280539,79262100
90,185155969,78213849
91,176587017,85499777
92,170149403,81773357
93,172210660,76612729
94,191071400,82378400
95,165578218,84377752
96,193520319,84460544
97,180922805,86445941
98,173785625,83424416
99,176945144,82792279
100,182143664,101898362
1,246860274,246126546
2,161985219,193742077
3,138361177,159202351
4,140789195,143546295
5,133499801,142191875
6,135871232,133467393
7,139876809,131046593
8,138820658,131544914
9,148018366,123428993
10,145514131,124210387
11,152175934,129602152
12,186129550,125655828
13,187793749,104465870
14,159306892,98553686
15,131978527,102408796
16,133466906,101952953
17,142501592,100381515
18,136799759,104743481
19,144663342,96222758
20,174083139,102853609
21,143100678,101394561
22,147162559,97712616
23,148116729,98859396
24,154107544,95256828
25,152562278,95618833
26,152571872,101355748
27,161487165,94147045
28,190472398,97489064
29,165357426,83887250
30,148446012,82980423
31,171144806,89462741
32,152559306,87002622
33,160490956,83321122
34,159101953,80859690
35,183627044,82866437
36,159508467,85554672
37,168904148,85760734
38,173642505,85950325
39,165360343,81853826
40,166490065,83595542
41,164346090,85407722
42,169532613,83573113
43,157441285,84774136
44,166159153,82141461
45,166089204,69922705
46,141299129,74113331
47,147640635,69773336
48,138645213,71536705
49,152257648,77460358
50,165402185,71578917
51,142699339,74221535
52,142725320,69419611
53,142158804,74758892
54,150870394,70516339
55,142711349,71193065
56,167499795,74946343
57,153417954,71809447
58,155829750,69380642
59,148006303,67024205
60,153751185,72253628
61,148912008,69736077
62,162518385,71577632
63,142640493,62442400
64,137869836,65225024
65,136431021,64851531
66,138602112,63424312
67,141250026,65692559
68,140384075,64314762
69,136275788,61437092
70,136485380,65646878
71,146963590,63974410
72,141648775,62062936
73,147055262,63553622
74,142232527,58316628
75,147374691,65286971
76,138115632,66527456
77,142646053,65629148
78,134105143,66717282
79,143555150,66398486
